Description,ASIN,Product Description,Manufacturer
"  Fit Type: Regular    MATERIAL: Polyester, Sturdy, heavy duty construction in thick Material, Well designed and high quality backpack bag with Top quality zippers are used for closures; Color: Navy-Red    COMFORTABLE & SPACIOUS: Adjustable, wide and breathable padded shoulder strap with maximum load capacity - Offers Immense Comfort. The air mesh & padded back provides ease pressure from heavy backpack & effective ventilation between the bag and the wearer’s back by allowing proper dispersion of moisture. A Special Compartment to carry your laptop safely. The Bag has sufficiently space for your laptop to ensure maximum protection to your laptop.    WATER RESISTANT: Yes; Compartments: 4, Front large zipper easy accessible compartment & 2 mesh stash pocket on both side to accommodate a drinking bottle & other accessories. Capacity: 42 Litres; Weight: 0.58 kgm; Dimensions: 44cmX31cmX23cm    UTILITY: Multipurpose use, Perfect for school bag, backpack, College bag, casual bag, daypack, overnight bag for outdoor travel, riding, climbing, hiking, cycling, commuting and so on.   ",B0BKWF2Q38,"

   Product description    
 This Chris & Kate School Backpack is for the trendy school & college-goers. Made from thick and durable high quality Polyester, this backpack is high on durability. Its padded, adjustable straps provide ample comfort while carrying it on your shoulders. This Chris & Kate multi-purpose bag features big four compartments to carry your everyday essentials or basics needed for the next short trip. You may also use it to carry a laptop to office. It Features A Cushioned Base And Internal Back Padding To Offer You Extra Comfort. Multiple inner mesh Pockets And One Main large Padded Laptop Compartment, All compartments With Reversed Zipper for water-proof. A zippered compartment at the front lets you store stationery items, cables, chargers, pen drives and more. This backpack also has two pockets on both sides to accommodate your umbrella and sipper/bottle to keep you hydrated on the go!   



  ",BackpackInternationalPvtLtd
"  Lavie Mortiz sling bag is a perfect blend of stylish & quirk for fashionable ladies. It is extra durable, light weight, spacious and comes in multiple colors. This dome shaped bag is made of premium man-made leather. The bag has a well-stitched inner lining for easy accessibility and storage. It comes with a colour blocking pattern on front & printed stripes design in soft premium texture.    Dimension : 23 cm in length X 10 cm in width X 19 cm in height    This sling bag has a top zip closure for safety and comfort. The footed bottom helps to keep your stuff in place. The interior has 1 main compartment, 2 slip pockets alongside 1 zip pocket, providing plenty multi-Purpose storage for keeping phone, portable charger, keys, hairbrush, wallet, pocket perfume, sunglasses etc.    This sling is perfect for women to carry for a reunion party, a weekend getaway or even an evening at the beach. It can be paired with a basic crop top and jeans, a skater dress or even a jumpsuit. This spacious yet sturdy bag makes for a perfect gift for all your occasions   ",B08KR4WRM6,"

  
 



  ",None
"  Material: Made of Polyester Fibre. The Great advantage of polyester fiber is good wrinkle resistance and shape retention, Finest strength, and elastic recovery. It is firm, durable, and lightweight. Aurion bags are available in various colors.    Components: This package consists of the best durable vista bag with multiple purposes and compartments which will be your best sports kit bag. You can easily fold the bag and store it away after using it or when you’re traveling. Since the bag is so lightweight, you can even take it on a flight with you or carry it empty as an emergency backup. Available in various colors    Compact Vista Bag: This all-star, comfortable, collapsible, and versatile vista bag features 2 handle straps and 1 adjustable shoulder strap, which means you can carry it as a handbag or a cross-body bag. It also has a small pocket to fit your phone, earphones, and wallets, and it is very spacious.    Benefits: When you are fighting for your dream, being unscratched is impossible but not for an Aurion equipment bag, even after a long, tired, worn-out day, this bag doesn't age but stays good as new throughout rough and tough use.    Usage: The bag consists of many compartments you can easily store and hold a water bottle, pair of clothing, keys, shoes, and other small accessories without you struggling to zip it shut, perfect for sports, travel, workout, hiking, camping, shopping or just as a sports duffel bag for kids & adults. Ideal for men, women, or girls to use and is great for gifts.   ",B09136P3D9,"

   Product description    
 When looking for the best home gym equipment and workout essentials, Aurion has you covered. Our brand provides a variety of quality products ranging from weightlifting belts to boxing gloves and more. At Aurion, we understand that physical activity plays a crucial role in maintaining a healthy lifestyle. Our durable and reliable gym equipment provides you with an effective workout anywhere and at any time of the day. Our products are designed to meet any budget and are made for rough and extended use. Whether toning up your biceps or refining your abs, we ensure you have the perfect training setup for any kind of exercise while still being lightweight and space-saving. Aurion is your partner in achieving your health and fitness goals! We provide everything you need to stay in shape – dumbbells, skipping ropes, punching bags, fitness kits, weightlifting belts, and much more! Our carefully selected equipment features premium materials that ensure maximum durability and reliability. Aurion is committed to providing top-quality products. We also house an extensive range of sports equipment like bags, volleyballs, footballs, and cricket bats. So, no matter what sport or activity you’re passionate about, Aurion has the right gear for you. With our reliable products and budget-friendly prices – we’re ready to become a part of your fitness story! Our range also includes boxing gloves, ideal for those wanting to kick up their fitness routine a notch. Durable straps prevent injury yet provide you with enough flexibility and articulation needed for quick maneuvers. Take your boxing practice up a notch with Aurion's punching bag or make waves at the gym with our weighted-lifting belt. Aurion has been creating gym equipment since 2007 - so if you are a gym enthusiast looking for quality exercise products, make sure to check us out on Amazon!   



  ",BagzoneLifestylePvtLtd
"  ?DIMENSIONS: 30 Cm x 23 Cm x 47 Cm, CAPACITY: 34 Litres; ?NUMBER OF COMPARTMENTS: 3 full size compartments, 1 front zippers & 2 side pockets, LAPTOP COMPARTMENT: Padded laptop compartment with elasticated strap lock, LAPTOP SIZE: 13 to 15.6 inches    ?MATERIAL: Polyester, Water Resistant, COLOR: Navy Blue & Orange    ?SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable S-Curved shoulder straps which protects the backbone and help to relieve stress on shoulders, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets, 1 front tiffin pocket, rain cover in the side pocket    ?CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks, WARRANTY: 12 Months, Make in India product    Special Features: Bottle Holder; Style Name: Daypack Backpacks; Pattern Name: Solid; Compartment Description: Up To 15 Inches   ",B0844R2GMK,"

   Product description    
 POLESTAR SPACE : A Spacious and durable laptop backpack for school /college and travel. Easily accommodate 15.6 inch laptop. Size: 47 cm X 30 cm X 23 cm: SPACE is made of high grade water resistant polyester material that gives it strength and durable for long-term use. Is carries 12 months warranty. This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 vertical highlighted long zip pocket at front, 2 water bottle /umbrella pockets, Top padded Handle for comfort.   



  ",FIVEKGROUP
"  Number of compartments: 3, Laptop Sleeve: Yes   ",B079DDT65R,"

   Product description    
 Three compartments for better organisation, side fabric pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort and ease of carrying, quick-grab haul loop, multi-level organiser for storing accessories, sleeve separator, lining separator for better organisation inside the compartment.   



  ",NoProductDimensions‏:‎47x30x23cm;550GramsDateFirstAvailable‏:‎22January2020Manufacturer‏:‎POLESTAR
  Handbag    ladies    branded    sling    quilted   ,B09MRXJ9RY,"

 ",POLESTAR
"  Internal Dimensions: 13.78 x 0.79 x 9.65 inch (L x W x H); External Dimensions: 14.37 x 0.79 x 10.24 inch (L x W x H). The front horizontal side pocket dimensions: 13.39 x 6.89 inch (L x W).    The watercolor marble laptop sleeve with pocket outer polyester fabric of the case enable you to carry your MacBook / laptop / notebook / Ultrabook computer in a uniquely sleek style. Features a polyester foam padding layer and fluffy cushion for bump and shock absorption and protection of your device against dust, dirt, bump, shock and accidental scratches.    360 degree all around shockproof protective reinforced interior edge protect your laptop from any accidental dropping. Extendable handle design makes it to carry your laptop around in comfort, you can also tuck away the handle. Side opening zipper design, avoid accidental dropping of your laptop while carrying. Special watercolor marble laptop sleeve bag to show your personality.    Considerate design is the back trolley suitcase belt for ease use during business trip. It is really convenient for your happy journey to any where. Slim and lightweight; does not bulk your laptop up and can easily slide into your briefcase, backpack, or other bag. This protective carrying sleeve case cover bag with handle and pocket is ideal for you to take your laptop out.    Compatible with MacBook Air 13 2010-2017, MacBook Pro 13 2008-2015, Surface Book 2/1 13.5, Surface Laptop 3/2/1 13.5; Dell Inspiron 13/14, Dell Latitude 14; HP Elitebook 830 13.3, HP Elitebook/Spectre X360 13.3, HP Envy/Stream 13, HP Stream/Pavilion 14; Lenovo ThinkPad X1 Carbon 14, Lenovo Ideapad 320s-14/320s-15, Lenovo IdeaPad 710S/720S 13/14, Lenovo 720 13.3/Yoga 2 Pro/Yoga 920; Asus Vivobook/ZenBook Flip S 14, Asus ZenBook/Chromebook 13.3; Acer Swift1/7 /Spin 5 13.3, Acer Swift5/Spin7 14.   ",None,"

   Product description    
 MOCA Waterproof Nylon Exterior with Soft Velvety Interior Sleeve Bag Pouch Carry Case for 13.3"" to 14 inch Laptops, MacBook   



  ",NoProductDimensions‏:‎48x34x27cm;400GramsDateFirstAvailable‏:‎28January2018Manufacturer‏:‎Wildcraft
"  Internal size - 40.5cm x 30.5cm x 1.7cm, external size- 42cm x 32cm x 3.5cm​​, compatible with most 15 - 15.6 inch laptop computers or notebook like Macbook Pro/Air/Surface book/HP/Acer/Asus/Samsung Chromebook etc.    Extra Storage Space - Two pockets in front, enough space to keeping mouse, cable, cellphone, memory cards, external hard drive, pens,coins etc.    Ultra-slim & Lightweight - Slim, portable and lightweight to take alone, or slide it into your briefcase, backpack or any other daybag, perfect for business, school or travel.    Shockproof - Multiple Layers Protection, PP foam padding layer and Polyester fabric lining for bump and shock absorption, protect your computer from accidental scratches.    Excellent Detail: Use Exquisite zipper and reinforced stitching on all stress points, ensuring the bag does not fall apart when carrying heavy goods. The first verticle designed laptop bag, you will feel the beauty of simple and good texture.   ",None,None,Wildcraft
  Leather material Grey colored sling bag    21.5 centimeters height x 24 centimeters length x 7.5 centimeters width    Zip closure with handle    1 compartment    1 year domestic warranty against manufacturing defects    Do not expose to extreme heat   ,B07L6N38Y3,"

   Product description    
 From its artisan roots of a two man workshop to a company of 3000 spread all over the world, Hidesign has stayed true to its strong heritage of craftsmanship and innovative design. Hidesign stands out for the sensuous naturalness of its high quality leathers and the smooth soft glow of its solid brass fittings in the leather goods it handcrafts.   



  ","SUMITSUAPPARELPVT.LTD,PlotNo.324,PhaseIV,Sector18,Gurugram,Haryana"
"  Made with strong and premium 450D Polyester    Max padded 15.4"" Laptop compartment    Cool and stylish looks    Unique front quick access mesh pockets    Large front pocket for extra convenience   ",B0BP1QM6W5,"

   Product description    
 Made with strong and premium 450D Polyester Max padded 15.4"" Laptop compartment Cool and stylish looks Unique front quick access mesh pockets Large front pocket for extra convenience Available in smart colors   



  ",IsleLocadabyHidesign
"  Care Instructions: Hand Wash Only    Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop     Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry     Front Organizer compartments for pens, keys, and cell phone     Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket    ",B078JVT384,"

   Product description    
 Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+   



  ",BackpackInternationalPvtLtd
"  Anti-Theft backpack has added safety features for you laptop and other precious devices.; Hidden pockets at one side give you quick access to items like cellphones, IDs, or other handy things that you frequently need, and you don’t have to take off your backpack to get it.     Design Featuring padded handles and shoulder straps, zipper compartments and bottle holders, this bag comes with everything you need to tackle your daily commute.     Compartments This backpack has two pockets in the front for non essentials as well as two water bottle holders on the outside. The laptop stow compartment has been provided with ample layers of protective padding to protect your valuable laptop. The bag can be opened partially around 90° for quick access or can be fully opened around 180° for complete access with everything visible at a glance, no more groping around in the bag.     Material This synthetic possesses many properties that make it a very useful fiber in many applications. It retains its shape rather well, which ensures longevity of the garment. This material is very responsive and resilient as well as relatively resistant to heat, UV rays and chemicals.; Water Resistance Level: Water Resistant; Age Range Description: Adult; Strap Type: Adjustable; Lining Description: Polyurethane     Pattern Name: Solid    ",B08WLS5XBP,"

  
 



  ",WEMANUFACTUREALLKINDSOFBAGSFORMOREDETAILCONTACT-7488730511
